ACT_ID	CIDX	AIDX	RIDX	TYPE	RELATION	VALUE	UPPER_VALUE	UNITS	TEXT_VALUE	ACTIVITY_COMMENT	CRIDX
ACT_INH_0113	DOM_SIM_113	1_LEY	LEY_VERO	inhibition	=	0.03		%			LEY_VERO
ACT_INH_0114	DOM_SIM_114	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0115	DOM_SIM_115	1_LEY	LEY_VERO	inhibition	=	-0.03		%			LEY_VERO
ACT_INH_0116	DOM_SIM_116	1_LEY	LEY_VERO	inhibition	=	0.01		%			LEY_VERO
ACT_INH_0117	DOM_SIM_117	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0118	DOM_SIM_118	1_LEY	LEY_VERO	inhibition	=	-0.08		%			LEY_VERO
ACT_INH_0119	DOM_SIM_119	1_LEY	LEY_VERO	inhibition	=	-0.15		%			LEY_VERO
ACT_INH_0120	DOM_SIM_120	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0121	DOM_SIM_121	1_LEY	LEY_VERO	inhibition	=	0.01		%			LEY_VERO
ACT_INH_0122	DOM_SIM_122	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0123	DOM_SIM_123	1_LEY	LEY_VERO	inhibition	=	-0.08		%			LEY_VERO
ACT_INH_0124	DOM_SIM_124	1_LEY	LEY_VERO	inhibition	=	-0.26		%			LEY_VERO
ACT_INH_0125	DOM_SIM_125	1_LEY	LEY_VERO	inhibition	=	-0.17		%			LEY_VERO
ACT_INH_0126	DOM_SIM_126	1_LEY	LEY_VERO	inhibition	=	0.14		%			LEY_VERO
ACT_INH_0127	DOM_SIM_127	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0128	DOM_SIM_128	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0129	DOM_SIM_129	1_LEY	LEY_VERO	inhibition	=	-0.2		%			LEY_VERO
ACT_INH_0130	DOM_SIM_130	1_LEY	LEY_VERO	inhibition	=	0.87		%			LEY_VERO
ACT_INH_0131	DOM_SIM_131	1_LEY	LEY_VERO	inhibition	=	-0.01		%			LEY_VERO
ACT_INH_0132	DOM_SIM_132	1_LEY	LEY_VERO	inhibition	=	9.19		%			LEY_VERO
ACT_INH_0133	DOM_SIM_133	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0134	DOM_SIM_134	1_LEY	LEY_VERO	inhibition	=	0.04		%			LEY_VERO
ACT_INH_0135	DOM_SIM_135	1_LEY	LEY_VERO	inhibition	=	-0.18		%			LEY_VERO
ACT_INH_0136	DOM_SIM_136	1_LEY	LEY_VERO	inhibition	=	0		%			LEY_VERO
ACT_INH_0137	DOM_SIM_137	1_LEY	LEY_VERO	inhibition	=	2.55		%			LEY_VERO
ACT_INH_0138	DOM_SIM_138	1_LEY	LEY_VERO	inhibition	=	-0.01		%			LEY_VERO
ACT_INH_0139	DOM_SIM_139	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0140	DOM_SIM_140	1_LEY	LEY_VERO	inhibition	=	-0.01		%			LEY_VERO
ACT_INH_0141	DOM_SIM_141	1_LEY	LEY_VERO	inhibition	=	-0.02		%			LEY_VERO
ACT_INH_0142	DOM_SIM_142	1_LEY	LEY_VERO	inhibition	=	1.85		%			LEY_VERO
ACT_INH_0143	DOM_SIM_143	1_LEY	LEY_VERO	inhibition	=	0.06		%			LEY_VERO
ACT_INH_0144	DOM_SIM_144	1_LEY	LEY_VERO	inhibition	=	0.09		%			LEY_VERO
ACT_INH_0145	DOM_SIM_145	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
ACT_INH_0146	DOM_SIM_146	1_LEY	LEY_VERO	inhibition	=	0.02		%			LEY_VERO
ACT_INH_0147	DOM_SIM_147	1_LEY	LEY_VERO	inhibition	=	0.96		%			LEY_VERO
ACT_INH_0148	DOM_SIM_148	1_LEY	LEY_VERO	inhibition	=	-0.37		%			LEY_VERO
ACT_INH_0149	DOM_SIM_149	1_LEY	LEY_VERO	inhibition	=	0.08		%			LEY_VERO
ACT_INH_0150	DOM_SIM_150	1_LEY	LEY_VERO	inhibition	=	-0.23		%			LEY_VERO
ACT_INH_0151	DOM_SIM_151	1_LEY	LEY_VERO	inhibition	=	0.27		%			LEY_VERO
ACT_INH_0152	DOM_SIM_152	1_LEY	LEY_VERO	inhibition	=	0.18		%			LEY_VERO
ACT_INH_0153	DOM_SIM_153	1_LEY	LEY_VERO	inhibition	=	-0.01		%			LEY_VERO
