ACT_ID	SAM_ID
ACT_IC50_136	SAM_IC50_136
ACT_IC50_137	SAM_IC50_137
ACT_IC50_138	SAM_IC50_138
ACT_IC50_139	SAM_IC50_139
ACT_IC50_140	SAM_IC50_140
ACT_IC50_141	SAM_IC50_141
ACT_IC50_142	SAM_IC50_142
ACT_IC50_143	SAM_IC50_143
ACT_IC50_144	SAM_IC50_144
ACT_IC50_145	SAM_IC50_145
ACT_IC50_146	SAM_IC50_146
ACT_IC50_147	SAM_IC50_147
ACT_IC50_148	SAM_IC50_148
ACT_IC50_149	SAM_IC50_149
ACT_IC50_150	SAM_IC50_150
ACT_IC50_151	SAM_IC50_151
ACT_IC50_152	SAM_IC50_152
ACT_IC50_153	SAM_IC50_153
ACT_IC50_154	SAM_IC50_154
ACT_IC50_155	SAM_IC50_155
ACT_IC50_156	SAM_IC50_156
ACT_IC50_157	SAM_IC50_157
ACT_IC50_158	SAM_IC50_158
ACT_IC50_159	SAM_IC50_159
