COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1315839	1002457	> 	1	uM	EPICHEM
DNDI1315839	1000461	= 	.752	uM	EPICHEM
DNDI1315840	1003108	= 	92.32	uM	EPICHEM
DNDI1315840	1000461	> 	1	uM	EPICHEM
DNDI1315841	1003108	> 	100	uM	EPICHEM
DNDI1315841	1000461	> 	1	uM	EPICHEM
DNDI1317214	1003108	> 	100	uM	EPICHEM
DNDI1317214	1002457	= 	.875	uM	EPICHEM
DNDI1317214	1000461	= 	.509	uM	EPICHEM
DNDI1317215	1003108	> 	100	uM	EPICHEM
DNDI1317215	1002457	= 	.154	uM	EPICHEM
DNDI1317215	1000461	= 	.078	uM	EPICHEM
DNDI1317216	1000461	= 	.345	uM	EPICHEM
DNDI1317216	1003108	> 	100	uM	EPICHEM
DNDI1317216	1002457	= 	.67	uM	EPICHEM
DNDI1317217	1003108	> 	100	uM	EPICHEM
DNDI1317217	1000461	> 	1	uM	EPICHEM
DNDI1317218	1003108	> 	100	uM	EPICHEM
DNDI1317218	1000461	> 	1	uM	EPICHEM
DNDI1317219	1000461	> 	1	uM	EPICHEM
DNDI1317220	1003108	= 	70.25	uM	EPICHEM
DNDI1317220	1000461	> 	10	uM	EPICHEM
DNDI1317220	1003108	= 	70.25	uM	EPICHEM
DNDI1317220	1002457	> 	10	uM	EPICHEM
DNDI1322021	1003108	= 	66.89	uM	EPICHEM
DNDI1322021	1002457	= 	.469	uM	EPICHEM
DNDI1322021	1000461	= 	.172	uM	EPICHEM
DNDI1322022	1003108	= 	57.96	uM	EPICHEM
DNDI1322022	1002457	= 	.749	uM	EPICHEM
DNDI1322022	1000461	= 	.446	uM	EPICHEM
DNDI1322023	1003108	= 	50.01	uM	EPICHEM
DNDI1322023	1000461	= 	.077	uM	EPICHEM
DNDI1322024	1003108	> 	100	uM	EPICHEM
DNDI1322024	1002457	= 	.505	uM	EPICHEM
DNDI1322024	1000461	= 	.201	uM	EPICHEM
DNDI1322025	1003108	= 	85.58	uM	EPICHEM
DNDI1322025	1002457	= 	.315	uM	EPICHEM
DNDI1322025	1000461	= 	.061	uM	EPICHEM
DNDI1322026	1003108	> 	100	uM	EPICHEM
DNDI1322026	1002457	> 	1	uM	EPICHEM
DNDI1322026	1000461	> 	1	uM	EPICHEM
DNDI1322027	1003108	= 	59.4	uM	EPICHEM
DNDI1322027	1000461	= 	.014	uM	EPICHEM
DNDI1322027	1003108	> 	100	uM	EPICHEM
DNDI1322027	1002457	= 	.031	uM	EPICHEM
DNDI1322027	1000461	= 	.019	uM	EPICHEM
DNDI1322027	1002457	= 	.032	uM	EPICHEM
DNDI1322028	1000461	> 	1	uM	EPICHEM
DNDI1322028	1002457	> 	1	uM	EPICHEM
DNDI1322028	1003108	= 	54.72	uM	EPICHEM
DNDI1322029	1000461	= 	.124	uM	EPICHEM
DNDI1322029	1002457	= 	.296	uM	EPICHEM
DNDI1322029	1003108	= 	62.64	uM	EPICHEM
DNDI1322030	1000461	= 	.075	uM	EPICHEM
DNDI1322030	1002457	= 	.38	uM	EPICHEM
DNDI1322030	1003108	= 	79.38	uM	EPICHEM
DNDI1322031	1000461	> 	1	uM	EPICHEM
DNDI1322031	1003108	> 	100	uM	EPICHEM
DNDI1325586	1003108	> 	100	uM	EPICHEM
DNDI1325586	1002457	= 	.43	uM	EPICHEM
DNDI1325586	1000461	= 	.2	uM	EPICHEM
DNDI1325587	1003108	> 	100	uM	EPICHEM
DNDI1325587	1002457	= 	.45	uM	EPICHEM
DNDI1325587	1000461	= 	.18	uM	EPICHEM
DNDI1325588	1003108	> 	100	uM	EPICHEM
DNDI1325588	1002457	> 	1	uM	EPICHEM
DNDI1325588	1000461	> 	1	uM	EPICHEM
DNDI1325589	1003108	> 	100	uM	EPICHEM
DNDI1325589	1002457	> 	1	uM	EPICHEM
DNDI1325589	1000461	> 	1	uM	EPICHEM
DNDI1325590	1003108	> 	100	uM	EPICHEM
DNDI1325590	1002457	= 	.51	uM	EPICHEM
DNDI1325590	1000461	= 	.11	uM	EPICHEM
DNDI1325591	1003108	= 	61.16	uM	EPICHEM
DNDI1325591	1002457	= 	.06	uM	EPICHEM
DNDI1325591	1000461	= 	.017	uM	EPICHEM
DNDI1325592	1003108	> 	100	uM	EPICHEM
DNDI1325592	1002457	> 	1	uM	EPICHEM
DNDI1325592	1000461	> 	1	uM	EPICHEM
DNDI1325593	1003108	= 	59.08	uM	EPICHEM
DNDI1325593	1002457	= 	.028	uM	EPICHEM
DNDI1325593	1000461	= 	.006	uM	EPICHEM
DNDI1325594	1003108	= 	54.68	uM	EPICHEM
DNDI1325594	1002457	= 	.03	uM	EPICHEM
DNDI1325594	1000461	= 	.02	uM	EPICHEM
DNDI1325595	1003108	= 	74.25	uM	EPICHEM
DNDI1325595	1002457	= 	.09	uM	EPICHEM
DNDI1325595	1000461	= 	.02	uM	EPICHEM
DNDI1325596	1003108	= 	53.23	uM	EPICHEM
DNDI1325596	1002457	= 	.84	uM	EPICHEM
DNDI1325596	1000461	= 	.56	uM	EPICHEM
DNDI1325597	1003108	= 	66	uM	EPICHEM
DNDI1325597	1002457	= 	.33	uM	EPICHEM
DNDI1325597	1000461	= 	.1	uM	EPICHEM
DNDI1325598	1003108	= 	58.71	uM	EPICHEM
DNDI1325598	1002457	= 	.11	uM	EPICHEM
DNDI1325598	1000461	= 	.02	uM	EPICHEM
DNDI1330083	1003108	= 	76.51	uM	EPICHEM
DNDI1330083	1000461	= 	.012	uM	EPICHEM
DNDI1330083	1000461	= 	.018	uM	EPICHEM
DNDI1330083	1002457	= 	.032	uM	EPICHEM
DNDI1330083	1002457	= 	.033	uM	EPICHEM
DNDI1330083	1003108	= 	63.33	uM	EPICHEM
DNDI1330084	1002457	= 	.15	uM	EPICHEM
DNDI1330084	1000461	= 	.062	uM	EPICHEM
DNDI1330084	1003108	> 	100	uM	EPICHEM
DNDI1330085	1000461	= 	2.84	uM	EPICHEM
DNDI1330085	1003108	= 	56.27	uM	EPICHEM
DNDI1330085	1002457	= 	7.49	uM	EPICHEM
DNDI1330086	1003108	> 	100	uM	EPICHEM
DNDI1330086	1002457	> 	10	uM	EPICHEM
DNDI1330086	1000461	= 	7.42	uM	EPICHEM
DNDI1330087	1003108	> 	100	uM	EPICHEM
DNDI1330087	1002457	= 	.16	uM	EPICHEM
DNDI1330087	1000461	= 	.07	uM	EPICHEM
DNDI1330088	1003108	= 	91.26	uM	EPICHEM
DNDI1330088	1002457	= 	4.87	uM	EPICHEM
DNDI1330088	1000461	= 	2.14	uM	EPICHEM
DNDI1330089	1000461	= 	4.75	uM	EPICHEM
DNDI1330089	1002457	> 	10	uM	EPICHEM
DNDI1330089	1003108	> 	100	uM	EPICHEM
DNDI1330090	1003108	> 	100	uM	EPICHEM
DNDI1330090	1002457	= 	.21	uM	EPICHEM
DNDI1330090	1000461	= 	.096	uM	EPICHEM
DNDI1332841	1002457	= 	.724	uM	EPICHEM
DNDI1332841	1000461	= 	.297	uM	EPICHEM
DNDI1332841	1003108	> 	100	uM	EPICHEM
DNDI1332842	1002457	= 	.084	uM	EPICHEM
DNDI1332842	1000461	= 	.034	uM	EPICHEM
DNDI1332842	1003108	= 	67.35	uM	EPICHEM
DNDI1332843	1002457	= 	.08	uM	EPICHEM
DNDI1332843	1000461	= 	.032	uM	EPICHEM
DNDI1332843	1003108	= 	59.74	uM	EPICHEM
DNDI1332844	1002457	= 	.182	uM	EPICHEM
DNDI1332844	1000461	= 	.08	uM	EPICHEM
DNDI1332844	1003108	> 	100	uM	EPICHEM
DNDI1332845	1002457	= 	.256	uM	EPICHEM
DNDI1332845	1000461	= 	.107	uM	EPICHEM
DNDI1332845	1003108	> 	100	uM	EPICHEM
DNDI1332846	1003108	> 	100	uM	EPICHEM
DNDI1332846	1000461	= 	.044	uM	EPICHEM
DNDI1332846	1002457	= 	.108	uM	EPICHEM
DNDI1332847	1002457	> 	1	uM	EPICHEM
DNDI1332847	1000461	> 	1	uM	EPICHEM
DNDI1332847	1003108	= 	62.63	uM	EPICHEM
DNDI1332848	1003108	= 	61.63	uM	EPICHEM
DNDI1332848	1002457	> 	1	uM	EPICHEM
DNDI1332848	1000461	> 	1	uM	EPICHEM
DNDI1335908	1003108	> 	100	uM	EPICHEM
DNDI1335908	1000461	= 	.39	uM	EPICHEM
DNDI1335908	1003108	> 	100	uM	EPICHEM
DNDI1335908	1000461	= 	.49	uM	EPICHEM
DNDI1335908	1002457	= 	.96	uM	EPICHEM
DNDI1335908	1002457	= 	.82	uM	EPICHEM
DNDI1335908	1003108	> 	100	uM	EPICHEM
DNDI1335908	1000461	= 	.54	uM	EPICHEM
DNDI1335908	1002457	= 	.93	uM	EPICHEM
DNDI1335908	1003108	> 	100	uM	EPICHEM
DNDI1335908	1002457	= 	.52	uM	EPICHEM
DNDI1335908	1000461	= 	.24	uM	EPICHEM
DNDI1335909	1003108	> 	100	uM	EPICHEM
DNDI1335909	1002457	> 	1	uM	EPICHEM
DNDI1335909	1000461	> 	1	uM	EPICHEM
DNDI1335910	1003108	> 	100	uM	EPICHEM
DNDI1335910	1002457	> 	1	uM	EPICHEM
DNDI1335910	1000461	= 	.8	uM	EPICHEM
DNDI1335911	1002457	= 	.7	uM	EPICHEM
DNDI1335911	1000461	= 	.45	uM	EPICHEM
DNDI1335911	1003108	> 	100	uM	EPICHEM
DNDI1335912	1003108	> 	100	uM	EPICHEM
DNDI1335912	1000461	= 	.00177	uM	EPICHEM
DNDI1335912	1002457	= 	.005	uM	EPICHEM
DNDI1335913	1002457	= 	.007	uM	EPICHEM
DNDI1335913	1000461	= 	.00373	uM	EPICHEM
DNDI1335913	1003108	= 	47.59	uM	EPICHEM
DNDI1335914	1002457	= 	.029	uM	EPICHEM
DNDI1335914	1000461	= 	.0164	uM	EPICHEM
DNDI1335914	1003108	= 	70.18	uM	EPICHEM
DNDI1335915	1002457	= 	.036	uM	EPICHEM
