smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,exposure time (h),measurement,type,model type,description,dataset,ASSAY_TYPE,ASSAY_STRAIN,TARGET_TYPE,DOSE,timepoint_unit,SUPPLIER,ASSAY_SOP
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1F,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1F,.,= ,0.14,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1cccnc1)(c1cncnc1)c1ccccc1Cl,OC(c1cccnc1)(c1cncnc1)c1ccccc1Cl,.,= ,10.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1cccnc1)(c1cncnc1)c1ccccc1Cl,OC(c1cccnc1)(c1cncnc1)c1ccccc1Cl,.,= ,7.82,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(F)c1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(F)c1,.,= ,1.9,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(F)c1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(F)c1,.,= ,0.84,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
CC(C)CC(O)(c1ccc(Cl)cc1)c1cncnc1,CC(C)CC(O)(c1ccc(Cl)cc1)c1cncnc1,.,= ,10.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
CC(C)CC(O)(c1ccc(Cl)cc1)c1cncnc1,CC(C)CC(O)(c1ccc(Cl)cc1)c1cncnc1,.,= ,1.15,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(C(F)(F)F)cc1)(c1cncnc1)c1ccccc1Cl,OC(c1ccc(C(F)(F)F)cc1)(c1cncnc1)c1ccccc1Cl,.,= ,0.25,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(C(F)(F)F)cc1)(c1cncnc1)c1ccccc1Cl,OC(c1ccc(C(F)(F)F)cc1)(c1cncnc1)c1ccccc1Cl,.,= ,20.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccs1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccs1,.,= ,0.07,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccs1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccs1,.,= ,76.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(Cl)c1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(Cl)c1,.,= ,10.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(Cl)c1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(Cl)c1,.,= ,0.513,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(Cl)c1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(Cl)c1,.,= ,57.24,L-6 cells,,,uM,,IC50,,,CYTOTOXICITY,set6,F,rat myoblasts from skeletal muscle,ORGANISM,,,EPICHEM,MURVTCYT1
OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,.,= ,1.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,.,= ,0.21,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,.,= ,60.04,L-6 cells,,,uM,,IC50,,,CYTOTOXICITY,set6,F,rat myoblasts from skeletal muscle,ORGANISM,,,EPICHEM,MURVTCYT1
O/N=C(\c1ccc(Cl)cc1)c1ccccc1Cl,O/N=C(\c1ccc(Cl)cc1)c1ccccc1Cl,.,= ,93.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
O/N=C(\c1ccc(Cl)cc1)c1ccccc1Cl,O/N=C(\c1ccc(Cl)cc1)c1ccccc1Cl,.,= ,46.35,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
