COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1099435	1000986	=	1.29	ug/ml	SCYNEXIS
DNDI1099435	1005759	=	5.61	ug/ml	SCYNEXIS
DNDI1099435	1005454	=	34	min	SCYNEXIS
DNDI1099436	1005454	=	63	min	SCYNEXIS
DNDI1099436	1005451	=	13	ul/min/mg	SCYNEXIS
DNDI1099436	1000986	=	.44	ug/ml	SCYNEXIS
DNDI1099436	1005759	=	1.63	ug/ml	SCYNEXIS
DNDI1099437	1005451	=	87	ul/min/mg	SCYNEXIS
DNDI1099437	1005454	=	10	min	SCYNEXIS
DNDI1099437	1000986	=	1.6	ug/ml	SCYNEXIS
DNDI1099437	1005759	=	5.27	ug/ml	SCYNEXIS
DNDI1100784	1000986	>	5	ug/ml	SCYNEXIS
DNDI1100784	1005759	>	10	ug/ml	SCYNEXIS
DNDI1100785	1005759	>	10	ug/ml	SCYNEXIS
DNDI1100785	1000986	>	5	ug/ml	SCYNEXIS
DNDI1103626	1005759	=	.95	ug/ml	SCYNEXIS
DNDI1103626	1000986	=	.38	ug/ml	SCYNEXIS
DNDI1103629	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103629	1000986	>	5	ug/ml	SCYNEXIS
DNDI1103630	1005759	=	2.08	ug/ml	SCYNEXIS
DNDI1103630	1000986	=	.34	ug/ml	SCYNEXIS
DNDI1103631	1005759	=	.89	ug/ml	SCYNEXIS
DNDI1103631	1000986	=	.1	ug/ml	SCYNEXIS
DNDI1103632	1005759	=	2.43	ug/ml	SCYNEXIS
DNDI1103632	1000986	=	.37	ug/ml	SCYNEXIS
DNDI1103633	1000986	=	.3	ug/ml	SCYNEXIS
DNDI1103633	1005759	=	.66	ug/ml	SCYNEXIS
DNDI1103634	1005759	=	.96	ug/ml	SCYNEXIS
DNDI1103634	1000986	=	.16	ug/ml	SCYNEXIS
DNDI1103635	1005759	=	1.81	ug/ml	SCYNEXIS
DNDI1103635	1000986	=	.39	ug/ml	SCYNEXIS
DNDI1103635	1005759	=	2.96	ug/ml	SCYNEXIS
DNDI1103636	1005759	=	4.92	ug/ml	SCYNEXIS
DNDI1103636	1000986	=	1.55	ug/ml	SCYNEXIS
DNDI1103636	1005759	=	2.73	ug/ml	SCYNEXIS
DNDI1103637	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103637	1000986	>	5	ug/ml	SCYNEXIS
DNDI1103637	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103638	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103638	1000986	>	5	ug/ml	SCYNEXIS
DNDI1103638	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103639	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103639	1000986	>	5	ug/ml	SCYNEXIS
DNDI1103639	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103646	1005759	=	1.9	ug/ml	SCYNEXIS
DNDI1103646	1000986	=	.41	ug/ml	SCYNEXIS
DNDI1103649	1005759	=	1.47	ug/ml	SCYNEXIS
DNDI1103649	1000986	=	.74	ug/ml	SCYNEXIS
DNDI1103650	1005759	=	2.91	ug/ml	SCYNEXIS
DNDI1103650	1000986	=	.6	ug/ml	SCYNEXIS
DNDI1103650	1005759	=	3.31	ug/ml	SCYNEXIS
DNDI1103666	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103666	1000986	>	5	ug/ml	SCYNEXIS
DNDI1103666	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103667	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103667	1000986	>	5	ug/ml	SCYNEXIS
DNDI1103667	1005759	>	10	ug/ml	SCYNEXIS
DNDI1103668	1005759	=	1.33	ug/ml	SCYNEXIS
DNDI1103668	1000986	=	.22	ug/ml	SCYNEXIS
DNDI1103668	1006853	<	1	day	SCYNEXIS
DNDI1103668	1005759	=	1.42	ug/ml	SCYNEXIS
DNDI1112858	1005759	>	10	ug/ml	SCYNEXIS
DNDI1112858	1000986	>	5	ug/ml	SCYNEXIS
DNDI1112860	1005759	>	10	ug/ml	SCYNEXIS
DNDI1112860	1000986	>	5	ug/ml	SCYNEXIS
DNDI1112864	1000986	=	.42	ug/ml	SCYNEXIS
DNDI1112864	1005759	=	1.37	ug/ml	SCYNEXIS
DNDI1112865	1005759	=	1.48	ug/ml	SCYNEXIS
DNDI1112865	1000986	=	.38	ug/ml	SCYNEXIS
DNDI1112867	1005759	=	1.7	ug/ml	SCYNEXIS
DNDI1112867	1000986	=	1.02	ug/ml	SCYNEXIS
DNDI1112870	1005759	>	10	ug/ml	SCYNEXIS
DNDI1112870	1000986	=	3.13	ug/ml	SCYNEXIS
